Id,C_Dealer,C_Freight,C_Volume,C_BaseBoat,C_Engine,C_Series,C_Options,C_Prep,C_DealerName,C_DealerId,C_Enabled
a00edeaa-b764-4fe8-94f0-b2c300fd8753,bce24310-87e6-44b4-bec2-b2490154e2b4,0.0,10.0,37.0,37.0,M,37.0,0.0,WILSON MARINE OAKLAND,559240.0,False
8ff0a0e6-342a-4275-a3d0-b2c300fd8753,1af5314d-6346-45b3-bdcb-b2490154e339,1000,37.0,37.0,37.0,M,37.0,1000,WHISPERING PINES MARINE,557000.0,False
6f43ae1a-c1fb-464f-9a2e-b2c300fd8754,3436b37e-46b8-4a3d-8691-b2490154e399,1000,37.0,37.0,37.0,M,37.0,1000,WINNISQUAM MARINE ON WINNIPESAUKEE,562020.0,False
8e1cf483-5731-4891-8794-b2c300fd8755,21209caa-d301-4c4c-a528-b2490154e444,1000,37.0,37.0,37.0,M,37.0,1000,WINNIPEG YAMAHA SPORT & LEISURE,562000.0,False
d672c681-b611-4044-a911-b2c300fd8755,6deaa688-bd9a-4d77-ac2c-b2490154e3e4,1000,37.0,37.0,37.0,M,37.0,1000,*DO NOT USE* WINNISQUAM MARINE ON WINNIPESAUKEE,562021.0,False
d0aa5e32-706b-4ef2-812b-b2c300fd8756,c8625b68-e976-46b9-82cd-b2490154e4aa,1000,37.0,37.0,37.0,M,37.0,1000,WESTPLATE MARINE,555690.0,False
23a99f69-79cc-4781-baeb-b2c300fd8756,b1ef78ca-8505-423c-95c4-b2490154e4ec,1000,37.0,37.0,37.0,M,37.0,1000,CHEEKS MARINE,58200.0,False
cdfff1fc-85d7-4773-829d-b2c300fd8757,6d74115c-6888-42d9-a247-b2490154e5ec,1000,37.0,37.0,37.0,M,37.0,1000,CHAMPION WATER SPORTS,56000.0,False
61c25dfc-315c-4ff1-99a7-b2c300fd8757,9a7dcb9c-bb1d-4e9a-8415-b2490154e530,0.0,10.0,37.0,37.0,M,37.0,0.0,WHITTLE BOATS INC,557500.0,False
60d30906-a4e5-4529-b779-b2c300fd8757,d634e5c7-12e2-43e2-984a-b2490154e629,0.0,10.0,37.0,37.0,M,37.0,0.0,COLORADO BOAT CENTER,58989.0,False
facb269e-ac77-41d2-a7af-b2c300fd8758,cb19263c-4c69-4ea0-88d8-b2490154e651,1000,37.0,37.0,37.0,M,37.0,1000,COASTAL OFFSHORE INC,58700.0,False
d1d7e557-b3b5-4049-b551-b2c300fd8758,5d5b7ea8-e77b-447c-a490-b2490154e68a,1000,37.0,37.0,37.0,M,37.0,1000,CHOPLIN MARINE LLC,59000.0,False
931de9a8-25f4-44a9-a52f-b2c300fd8759,95a5bad6-e0ff-4250-806d-b2490154e6e6,1000,37.0,37.0,37.0,M,37.0,1000,BLUE CREEK MARINA,58900.0,False
f09f1b0e-3099-493e-a8d0-b2c300fd8759,db242594-68f0-4c55-a0d2-b2490154e6b2,1000,37.0,37.0,37.0,M,37.0,1000,YAMAHA MARINE CENTER OF JACKSONVILLE,58990.0,False
e5b03f10-6a21-4d3c-b026-b2c300fd875a,7829e624-46a3-4e0f-9c35-b2490154e70d,0.0,10.0,37.0,37.0,M,37.0,0.0,BROWN'S AUTO & MARINE,59800.0,False
84680096-cae0-4340-b1e2-b2c300fd875a,cab257aa-101b-4dfc-9457-b2490154e74c,1000,37.0,37.0,37.0,M,37.0,1000,CLEAR LAKE BOATS & POWERSPORTS,61000.0,False
6c920553-33da-4d5b-b3e9-b2c300fd875a,08cb6771-7bde-4fb5-90ec-b2490154e783,1000,37.0,37.0,37.0,M,37.0,1000,"CREWS ""N"" II OUTBOARD",65500.0,False
21593c27-1821-4308-a9e2-b2c300fd875b,86dc4e70-96cc-4d1f-8c24-b2490154e7ab,1000,37.0,37.0,37.0,M,37.0,1000,DANE'S MARINE,70600.0,False
cc2c68d9-82fb-4803-b1fc-b2c300fd875b,62b58765-5826-4007-8506-b2490154e7d6,0.0,10.0,37.0,37.0,M,37.0,0.0,AQUAKNOX MARINE LLC,65400.0,False
