model_id,series,parent_series,msrp,floorplan,floorplan_desc,length,seats,visible
27QXSBWAT2,QX,Q,144745,SBWAT2,Swingback with Windshield and Arch,27,13,True
25RXFBWAU,RX,R,88464,FBWA,Fastback with Windshield and Arch,25,17,True
23QXFBA,QX,Q,87565,FBA,Fastback with Arch,23,14,True
23QSBW,Q,Q,68264,SBW,Swingback with Windshield,23,0,True
22SFCU,S,S,27769,FC,Fish & Cruse,22,15,True
25RTFB,RT,R,85149,FB,Fastback,25,17,True
25RFB,R,R,72391,FB,Fastback,25,17,True
25LTSBA,LT,L,58623,SBA,Swingback with Arch,25,15,True
23RCW,R,R,67089,CW,Center-Walkthrough,23,17,False
21MSB,M,M,999999,SB,Swingback,21,0,False
25RXFBW,RX,R,92652,FBW,Fastback with Windshield,25,17,True
25RFBAU,R,R,65804,FBA,Fastback with Arch,25,17,True
23LXSSB,LXS,L,47402,SB,Swingback,23,15,True
25QSBAU,Q,Q,68259,SBA,Swingback with Arch,25,17,True
27RSBAX2,R,R,75166,SBAX2,10' Wide Swingback with Arch,27,16,True
25RXFBA,RX,R,87041,FBA,Fastback with Arch,25,17,True
